,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
2018-01-16,43.40999984741211,43.75,39.099998474121094,39.189998626708984,39.189998626708984,7956500,ROKU,49.489235,41.900001525878906,2.710002899169922,0.0
2018-01-23,45.63999938964844,46.75,42.540000915527344,42.619998931884766,42.619998931884766,8382100,ROKU,46.136417,43.02000045776367,0.40000152587890625,0.0
2018-01-30,41.25,42.22999954223633,40.79999923706055,41.52000045776367,41.52000045776367,2807200,ROKU,46.962223,51.099998474121094,9.579998016357422,0.0
2018-02-09,45.0,45.349998474121094,40.099998474121094,42.459999084472656,42.459999084472656,3590700,ROKU,47.423306,39.0,-3.4599990844726562,0.0
2018-02-13,42.220001220703125,43.689998626708984,42.13999938964844,43.02000045776367,43.02000045776367,1278100,ROKU,47.90774,38.88999938964844,-4.130001068115234,0.0
2018-02-14,42.95000076293945,46.099998474121094,42.8650016784668,44.849998474121094,44.849998474121094,3434100,ROKU,48.176258,38.689998626708984,-6.159999847412109,0.0
2018-02-21,52.029998779296875,52.70000076293945,49.14099884033203,51.099998474121094,51.099998474121094,12715600,ROKU,51.24382,36.93000030517578,-14.169998168945312,0.0
2018-03-05,37.599998474121094,40.119998931884766,37.400001525878906,39.0,39.0,3303200,ROKU,44.588745,34.59000015258789,-4.409999847412109,0.0
2018-03-06,39.79999923706055,40.13999938964844,38.5,38.58000183105469,38.58000183105469,2702700,ROKU,44.082508,33.0,-5.5800018310546875,0.0
2018-03-07,37.7599983215332,39.599998474121094,37.7599983215332,38.88999938964844,38.88999938964844,2092200,ROKU,43.718067,31.299999237060547,-7.590000152587891,0.0
2018-03-08,39.20000076293945,39.46900177001953,38.04999923706055,38.689998626708984,38.689998626708984,1868900,ROKU,43.525867,31.100000381469723,-7.589998245239261,0.0
2018-03-15,36.810001373291016,37.03300094604492,35.301998138427734,36.27000045776367,36.27000045776367,2981000,ROKU,42.951702,31.360000610351566,-4.909999847412106,0.0
2018-03-16,36.0,36.150001525878906,35.380001068115234,35.86000061035156,35.86000061035156,1900700,ROKU,42.63514,32.61000061035156,-3.25,0.0
2018-03-20,35.369998931884766,35.5,33.58000183105469,34.72999954223633,34.72999954223633,3663700,ROKU,41.70887,32.0099983215332,-2.720001220703125,0.0
2018-04-02,30.56999969482422,31.670000076293945,29.799999237060547,30.329999923706055,30.329999923706055,3253500,ROKU,37.357136,32.27000045776367,1.9400005340576172,0.0
2018-04-10,33.349998474121094,33.4900016784668,31.610000610351562,32.27000045776367,32.27000045776367,3193900,ROKU,35.83004,32.970001220703125,0.7000007629394531,0.0
2018-04-24,32.459999084472656,33.34000015258789,31.714000701904297,32.400001525878906,32.400001525878906,2892800,ROKU,36.721386,34.08000183105469,1.6800003051757812,0.0
2018-05-02,32.790000915527344,33.75,32.709999084472656,33.36000061035156,33.36000061035156,2645900,ROKU,37.11055,34.54999923706055,1.1899986267089844,0.0
2018-05-09,34.380001068115234,36.95000076293945,34.0,36.08000183105469,36.08000183105469,21384700,ROKU,37.458385,37.459999084472656,1.3799972534179688,0.0
2018-05-25,36.060001373291016,39.08000183105469,35.650001525878906,38.540000915527344,38.540000915527344,21203400,ROKU,38.356,44.93000030517578,0.0,-6.3899993896484375
2018-05-30,38.91999816894531,39.06999969482422,37.31100082397461,38.45000076293945,38.45000076293945,7371800,ROKU,39.340073,46.75,8.299999237060547,0.0
2018-06-05,38.029998779296875,40.470001220703125,37.70000076293945,40.2599983215332,40.2599983215332,10949200,ROKU,40.450844,43.9900016784668,3.7300033569335938,0.0
2018-06-06,40.0,40.20000076293945,38.5099983215332,39.45000076293945,39.45000076293945,8130800,ROKU,40.8228,41.41999816894531,1.9699974060058594,0.0
2018-06-08,39.040000915527344,39.75,38.810001373291016,39.2400016784668,39.2400016784668,4448200,ROKU,41.439873,42.619998931884766,3.3799972534179688,0.0
2018-06-14,44.119998931884766,45.810001373291016,42.75,45.02000045776367,45.02000045776367,17120400,ROKU,43.55451,46.70000076293945,0.0,-1.6800003051757812
2018-06-28,41.15999984741211,42.2400016784668,40.0,41.619998931884766,41.619998931884766,6351900,ROKU,46.48577,49.770000457763665,8.1500015258789,0.0
2018-07-11,45.47999954223633,46.66999816894531,44.665000915527344,45.90999984741211,45.90999984741211,3825300,ROKU,48.80424,45.650001525878906,-0.2599983215332031,0.0
2018-07-17,47.20000076293945,51.45000076293945,47.15999984741211,51.38999938964844,51.38999938964844,9910700,ROKU,51.090675,47.41999816894531,0.0,3.970001220703125
2018-07-18,51.130001068115234,51.220001220703125,49.45000076293945,49.5,49.5,7600400,ROKU,51.705296,47.25,-2.25,0.0
2018-08-02,45.099998474121094,46.5,44.849998474121094,46.459999084472656,46.459999084472656,2399700,ROKU,51.22561,60.09000015258789,13.630001068115234,0.0
2018-08-03,46.540000915527344,47.29999923706055,45.599998474121094,46.470001220703125,46.470001220703125,2989200,ROKU,51.047825,63.259998321533196,16.78999710083007,0.0
2018-08-10,56.31999969482422,60.650001525878906,56.099998474121094,58.04999923706055,58.04999923706055,22379100,ROKU,53.070744,59.490001678466804,0.0,-1.440002441406257
2018-08-22,58.31999969482422,60.310001373291016,57.779998779296875,59.689998626708984,59.689998626708984,9049800,ROKU,58.068485,70.61000061035156,0.0,-10.920001983642578
2018-08-27,64.0,64.4800033569336,62.560001373291016,64.0999984741211,64.0999984741211,9602900,ROKU,61.27562,72.06999969482422,0.0,-7.970001220703125
2018-08-28,64.11000061035156,64.41000366210938,62.209999084472656,62.9900016784668,62.9900016784668,6333600,ROKU,62.46701,70.61000061035156,0.0,-7.619998931884766
2018-08-30,59.560001373291016,61.779998779296875,59.560001373291016,60.68000030517578,60.68000030517578,6768100,ROKU,63.511406,72.44999694824219,11.769996643066406,0.0
2018-10-16,62.5099983215332,63.91999816894531,60.209999084472656,63.65999984741211,63.65999984741211,7637300,ROKU,65.64685,55.61999893188476,-8.04000091552735,0.0
2018-10-17,65.30000305175781,65.30000305175781,60.25,60.84000015258789,60.84000015258789,10876700,ROKU,65.1017,58.86000061035156,-1.9799995422363281,0.0
2018-10-18,60.31999969482422,60.7400016784668,56.529998779296875,57.0099983215332,57.0099983215332,8286100,ROKU,64.43903,45.7400016784668,-11.269996643066406,0.0
2018-11-16,43.63999938964844,45.68000030517578,42.95000076293945,44.58000183105469,44.58000183105469,5722100,ROKU,47.555187,35.810001373291016,-8.770000457763672,0.0
2018-11-19,44.400001525878906,44.54999923706055,42.11000061035156,42.66999816894531,42.66999816894531,4324600,ROKU,46.807518,35.16999816894531,-7.5,0.0
2018-11-21,42.02000045776367,42.47800064086914,39.7599983215332,40.25,40.25,5220200,ROKU,45.485394,33.41999816894531,-6.8300018310546875,0.0
2018-12-03,43.369998931884766,43.369998931884766,40.849998474121094,42.16999816894531,42.16999816894531,6457600,ROKU,43.953976,30.35000038146973,-11.819997787475582,0.0
2018-12-18,32.150001525878906,32.7760009765625,31.059999465942383,31.34000015258789,31.34000015258789,6371600,ROKU,38.73717,40.15999984741211,8.819999694824219,0.0
2018-12-27,30.510000228881836,32.16999816894531,28.329999923706055,30.459999084472656,30.459999084472656,18877200,ROKU,33.187252,40.97999954223633,10.520000457763672,0.0
2019-01-03,31.8700008392334,32.176998138427734,29.5,30.100000381469727,30.100000381469727,14989400,ROKU,31.957253,43.689998626708984,13.589998245239258,0.0
2019-01-11,40.150001525878906,40.388999938964844,38.76499938964844,39.56999969482422,39.56999969482422,12528200,ROKU,35.443443,47.430000305175774,0.0,-7.860000610351555
2019-01-15,40.029998779296875,41.275001525878906,39.31100082397461,40.4900016784668,40.4900016784668,10322200,ROKU,36.40825,48.380001068115234,0.0,-7.8899993896484375
2019-01-16,40.68000030517578,41.790000915527344,38.90999984741211,39.88999938964844,39.88999938964844,10778700,ROKU,37.044968,46.86000061035156,0.0,-6.970001220703125
2019-01-17,39.560001373291016,42.06999969482422,39.2599983215332,41.630001068115234,41.630001068115234,14000700,ROKU,37.755825,48.270000457763665,0.0,-6.63999938964843
2019-01-25,43.5,44.0,42.06999969482422,43.689998626708984,43.689998626708984,11226400,ROKU,41.47092,52.08000183105468,0.0,-8.390003204345696
2019-01-29,43.619998931884766,45.95000076293945,42.31999969482422,42.849998474121094,42.849998474121094,15778800,ROKU,43.02473,53.63999938964843,10.790000915527337,0.0
2019-02-06,48.029998779296875,48.9900016784668,47.599998474121094,48.380001068115234,48.380001068115234,6243400,ROKU,47.35591,66.29000091552734,0.0,-17.90999984741211
2019-02-08,46.25,48.33000183105469,46.0099983215332,48.27000045776367,48.27000045776367,6471200,ROKU,48.330074,67.05000305175781,18.78000259399414,0.0
2019-02-13,49.29999923706055,50.560001373291016,48.900001525878906,50.20000076293945,50.20000076293945,7000400,ROKU,49.578392,70.80999755859375,0.0,-20.609996795654297
2019-02-27,65.0,67.5999984741211,64.66000366210938,67.37000274658203,67.37000274658203,9676500,ROKU,58.825237,64.97000122070312,0.0,2.4000015258789062
2019-02-28,67.91999816894531,68.0,65.27999877929688,66.29000091552734,66.29000091552734,8149100,ROKU,60.46576,66.94000244140625,0.0,-0.6500015258789062
2019-03-04,69.37000274658203,69.70700073242188,64.62999725341797,67.05000305175781,67.05000305175781,15844900,ROKU,63.843513,66.9000015258789,0.0,0.15000152587890625
2019-03-07,71.5,72.45999908447266,69.53600311279297,70.80999755859375,70.80999755859375,9990200,ROKU,68.0776,64.38999938964844,0.0,6.4199981689453125
