,open,high,low,close,adjclose,volume,ticker
1995-10-02,16.0,16.166667938232422,16.0,16.166667938232422,7.954577922821045,2400,ERIE
1995-10-03,16.166667938232422,17.333332061767578,16.166667938232422,17.333332061767578,8.528615951538086,21300,ERIE
1995-10-04,17.333332061767578,17.333332061767578,16.0,16.0,7.872573375701904,9600,ERIE
1995-10-05,17.166667938232422,17.166667938232422,16.666667938232422,17.166667938232422,8.446610450744629,9900,ERIE
1995-10-06,17.166667938232422,17.166667938232422,16.0,17.166667938232422,8.446610450744629,56700,ERIE
1995-10-09,16.166667938232422,17.166667938232422,16.0,17.0,8.364605903625488,56100,ERIE
1995-10-10,17.166667938232422,17.166667938232422,17.0,17.083332061767578,8.405606269836426,8400,ERIE
1995-10-11,17.166667938232422,17.333332061767578,16.666667938232422,16.666667938232422,8.200597763061523,12000,ERIE
1995-10-12,17.5,17.5,17.5,17.5,8.610624313354492,3900,ERIE
1995-10-13,17.666667938232422,17.666667938232422,17.666667938232422,17.666667938232422,8.692631721496582,5100,ERIE
1995-10-16,17.666667938232422,18.166667938232422,17.666667938232422,18.0,8.856637954711914,8100,ERIE
1995-10-17,18.166667938232422,18.5,18.0,18.5,9.102663040161133,10800,ERIE
1995-10-18,18.5,19.0,18.333332061767578,19.0,9.348679542541504,9600,ERIE
1995-10-19,19.333332061767578,20.0,18.0,18.666667938232422,9.18466567993164,27900,ERIE
1995-10-20,20.333332061767578,20.333332061767578,18.0,19.333332061767578,9.512686729431152,8100,ERIE
1995-10-23,20.333332061767578,20.333332061767578,20.333332061767578,20.333332061767578,10.00472640991211,2700,ERIE
1995-10-24,20.333332061767578,20.333332061767578,19.666667938232422,20.333332061767578,10.00472640991211,7200,ERIE
1995-10-25,20.333332061767578,20.5,18.333332061767578,20.5,10.08673095703125,22800,ERIE
1995-10-26,20.5,20.5,20.0,20.0,9.840712547302246,4500,ERIE
1995-10-27,19.333332061767578,20.333332061767578,19.333332061767578,20.333332061767578,10.00472640991211,5100,ERIE
1995-10-30,20.333332061767578,20.333332061767578,18.416667938232422,19.333332061767578,9.512686729431152,20700,ERIE
1995-10-31,20.333332061767578,20.333332061767578,18.333332061767578,20.333332061767578,10.00472640991211,10800,ERIE
1995-11-01,19.333332061767578,20.333332061767578,19.333332061767578,20.333332061767578,10.00472640991211,3300,ERIE
1995-11-02,20.333332061767578,20.333332061767578,19.333332061767578,20.25,9.963724136352539,1500,ERIE
1995-11-03,20.333332061767578,20.333332061767578,18.0,19.666667938232422,9.67670726776123,12000,ERIE
1995-11-06,20.166667938232422,20.166667938232422,20.166667938232422,20.166667938232422,9.922722816467285,900,ERIE
1995-11-07,20.166667938232422,20.166667938232422,20.166667938232422,20.166667938232422,9.922722816467285,900,ERIE
1995-11-08,20.166667938232422,20.166667938232422,20.166667938232422,20.166667938232422,9.922722816467285,1500,ERIE
1995-11-09,20.166667938232422,20.166667938232422,20.166667938232422,20.166667938232422,9.922722816467285,2100,ERIE
1995-11-10,20.166667938232422,20.166667938232422,20.166667938232422,20.166667938232422,9.922722816467285,2100,ERIE
1995-11-13,20.166667938232422,20.166667938232422,19.333332061767578,19.333332061767578,9.512686729431152,3600,ERIE
1995-11-14,20.166667938232422,20.166667938232422,19.666667938232422,19.666667938232422,9.67670726776123,6000,ERIE
1995-11-15,20.166667938232422,20.166667938232422,19.666667938232422,20.166667938232422,9.922722816467285,3600,ERIE
1995-11-16,20.166667938232422,20.166667938232422,20.166667938232422,20.166667938232422,9.922722816467285,1200,ERIE
