,open,high,low,close,adjclose,volume,ticker
1993-02-23,8.0,8.125,7.65625,7.75,3.907938241958618,40594800,MS
1993-02-24,7.875,8.0625,7.78125,7.96875,4.018242359161377,9426400,MS
1993-02-25,8.0,8.15625,7.96875,8.15625,4.112790584564209,5229200,MS
1993-02-26,8.15625,8.28125,8.03125,8.28125,4.175821781158447,2761200,MS
1993-03-01,8.1875,8.21875,8.0,8.0,4.033999919891357,3014400,MS
1993-03-02,8.0625,8.25,8.03125,8.21875,4.1443047523498535,3022800,MS
1993-03-03,8.1875,8.3125,8.125,8.1875,4.128545761108398,2808800,MS
1993-03-04,8.15625,8.25,8.15625,8.15625,4.112790584564209,1783600,MS
1993-03-05,8.125,8.34375,8.0,8.3125,4.191577434539795,3868800,MS
1993-03-08,8.25,8.3125,8.1875,8.28125,4.175821781158447,2516000,MS
1993-03-09,8.25,8.625,8.25,8.53125,4.301881790161133,2449200,MS
1993-03-10,8.46875,8.90625,8.4375,8.875,4.475220203399658,3192800,MS
1993-03-11,8.96875,8.96875,8.78125,8.875,4.475220203399658,1276400,MS
1993-03-12,8.8125,9.0625,8.5,9.03125,4.554007053375244,2958800,MS
1993-03-15,9.0,9.0,8.8125,8.875,4.475220203399658,1858400,MS
1993-03-16,8.8125,8.90625,8.65625,8.6875,4.380671977996826,2182000,MS
1993-03-17,8.6875,8.78125,8.59375,8.78125,4.427944660186768,2413600,MS
1993-03-18,8.75,9.03125,8.75,9.0,4.538248062133789,1765200,MS
1993-03-19,9.0625,9.0625,8.90625,8.90625,4.490977764129639,2397600,MS
1993-03-22,8.9375,8.9375,8.78125,8.875,4.475220203399658,729200,MS
1993-03-23,8.875,8.875,8.6875,8.6875,4.380671977996826,924000,MS
1993-03-24,8.6875,8.6875,8.34375,8.59375,4.333396911621094,1787600,MS
1993-03-25,8.53125,8.59375,8.40625,8.59375,4.333396911621094,1080400,MS
1993-03-26,8.875,9.15625,8.84375,9.15625,4.617040157318115,2376800,MS
1993-03-29,9.09375,9.25,8.9375,9.25,4.664312839508057,1273600,MS
1993-03-30,9.375,9.59375,9.28125,9.59375,4.837649822235107,1463600,MS
1993-03-31,9.625,9.8125,9.5625,9.59375,4.837649822235107,1856000,MS
1993-04-01,9.46875,9.5,9.1875,9.25,4.664312839508057,1410000,MS
1993-04-02,9.125,9.28125,8.90625,8.90625,4.490977764129639,1338800,MS
1993-04-05,8.875,9.09375,8.875,9.0625,4.569766044616699,873200,MS
1993-04-06,9.09375,9.125,8.9375,8.9375,4.506734371185303,763200,MS
1993-04-07,8.90625,9.09375,8.90625,9.0625,4.569766044616699,240400,MS
1993-04-08,9.0625,9.0625,9.0,9.03125,4.554007053375244,304000,MS
1993-04-12,9.03125,9.25,9.03125,9.25,4.664312839508057,217600,MS
1993-04-13,9.375,9.59375,9.375,9.53125,4.8061323165893555,937600,MS
1993-04-14,9.53125,9.8125,9.53125,9.78125,4.932196140289307,689600,MS
1993-04-15,9.65625,9.65625,9.25,9.375,4.727342128753662,1319600,MS
1993-04-16,9.4375,9.5,9.3125,9.34375,4.711587429046631,1452400,MS
1993-04-19,9.28125,9.34375,9.09375,9.125,4.601282119750977,861600,MS
1993-04-20,9.21875,9.28125,8.65625,8.84375,4.459458827972412,2764000,MS
1993-04-21,8.84375,8.96875,8.71875,8.71875,4.39642858505249,1372800,MS
1993-04-22,8.71875,8.875,8.6875,8.71875,4.39642858505249,1387600,MS
1993-04-23,8.6875,8.71875,8.5,8.59375,4.333396911621094,660400,MS
1993-04-26,8.625,8.6875,8.3125,8.40625,4.238851547241211,1847200,MS
1993-04-27,8.3125,8.5,8.15625,8.5,4.286123275756836,1674000,MS
1993-04-28,8.5625,8.6875,8.46875,8.65625,4.364913463592529,726800,MS
1993-04-29,8.65625,8.71875,8.625,8.625,4.349155426025391,228800,MS
1993-04-30,8.65625,9.75,8.65625,9.6875,4.884921550750732,3105600,MS
1993-05-03,9.5,9.5,9.125,9.1875,4.632792949676514,2001200,MS
1993-05-04,9.25,9.3125,9.15625,9.25,4.664312839508057,826000,MS
1993-05-05,9.21875,9.21875,9.125,9.15625,4.617040157318115,512000,MS
1993-05-06,9.15625,9.15625,9.0,9.09375,4.58552360534668,183200,MS
1993-05-07,9.125,9.1875,9.09375,9.125,4.601282119750977,245200,MS
1993-05-10,9.15625,9.3125,9.15625,9.25,4.664312839508057,708800,MS
1993-05-11,9.25,9.25,9.125,9.21875,4.648555278778076,568800,MS
1993-05-12,9.21875,9.28125,9.15625,9.21875,4.648555278778076,258000,MS
1993-05-13,9.15625,9.15625,9.0,9.0,4.538248062133789,163200,MS
1993-05-14,8.96875,8.96875,8.59375,8.75,4.412186145782471,848000,MS
1993-05-17,8.75,8.96875,8.71875,8.90625,4.490977764129639,382000,MS
1993-05-18,8.875,8.875,8.71875,8.8125,4.4437031745910645,883600,MS
1993-05-19,8.78125,8.96875,8.78125,8.90625,4.490977764129639,514800,MS
1993-05-20,8.96875,8.96875,8.6875,8.75,4.412186145782471,936800,MS
1993-05-21,8.6875,8.6875,8.46875,8.5,4.286123275756836,834000,MS
1993-05-24,8.46875,8.65625,8.4375,8.65625,4.364913463592529,262400,MS
1993-05-25,8.65625,8.6875,8.5625,8.625,4.361750602722168,662400,MS
1993-05-26,8.625,9.1875,8.625,9.15625,4.630411148071289,659200,MS
1993-05-27,9.125,9.21875,8.75,8.78125,4.440768718719482,1011600,MS
1993-05-28,8.75,8.75,8.53125,8.59375,4.345949649810791,1338800,MS
1993-06-01,8.59375,8.6875,8.59375,8.65625,4.3775553703308105,330400,MS
1993-06-02,8.65625,8.75,8.65625,8.71875,4.4091620445251465,295600,MS
1993-06-03,8.75,8.75,8.5625,8.5625,4.3301472663879395,178800,MS
1993-06-04,8.5,8.625,8.46875,8.46875,4.282733917236328,211200,MS
1993-06-07,8.46875,8.5,8.40625,8.46875,4.282733917236328,314400,MS
1993-06-08,8.46875,8.5,8.4375,8.46875,4.282733917236328,295200,MS
1993-06-09,8.46875,8.59375,8.46875,8.59375,4.345949649810791,341200,MS
